Query: holds(((engagement,true),I)) for I=0,...,12. 

Inst	Prob	Traces	T.Time	S.Time	CPU Time 
0 	 1 	 2257540 	 182.624s 	 182.59s 	 129.156s
1 	 0.8 	 1550224 	 131.518s 	 131.49s 	 92.454s
2 	 0.64 	 1078680 	 87.205s 	 87.20s 	 61.210s
3 	 0.540173 	 877714 	 67.568s 	 67.56s 	 46.081s
4 	 0.432138 	 593920 	 45.700s 	 45.69s 	 31.221s
5 	 0.659283 	 1464320 	 113.160s 	 113.15s 	 76.913s
6 	 0.79557 	 1899520 	 146.775s 	 146.77s 	 100.045s
7 	 0.877342 	 2117120 	 160.256s 	 160.25s 	 108.297s
8 	 0.916829 	 1859364 	 140.116s 	 140.11s 	 96.242s
9 	 0.838891 	 1699864 	 136.496s 	 136.49s 	 87.633s
10 	 0.793568 	 1566120 	 125.608s 	 125.60s 	 88.221s
11 	 0.876141 	 1980972 	 169.987s 	 169.95s 	 124.671s
12 	 0.788527 	 1320648 	 101.348s 	 101.34s 	 69.590s
