Query: holds(((taskCorrect,true),I)) for I=0,...,12. 

Inst	Prob	Traces	T.Time	S.Time	CPU Time 
0 	 1 	 2257540 	 176.283s 	 176.26s 	 122.134s
1 	 0.6 	 775112 	 59.744s 	 59.73s 	 41.390s
2 	 0.36 	 269670 	 20.919s 	 20.91s 	 14.829s
3 	 0.32663 	 657680 	 50.687s 	 50.68s 	 34.794s
4 	 0.195978 	 221194 	 17.094s 	 17.08s 	 11.914s
5 	 0.517587 	 1275914 	 98.228s 	 98.22s 	 67.299s
6 	 0.710552 	 1803274 	 139.660s 	 139.65s 	 96.160s
7 	 0.826331 	 2066954 	 169.503s 	 169.49s 	 116.097s
8 	 0.879348 	 1384820 	 111.341s 	 111.33s 	 78.300s
9 	 0.727987 	 1105484 	 88.444s 	 88.43s 	 61.377s
10 	 0.64845 	 968568 	 79.542s 	 79.53s 	 55.017s
11 	 0.78907 	 1682124 	 136.246s 	 136.24s 	 96.175s
12 	 0.63121 	 560756 	 44.080s 	 44.07s 	 30.740s

