Query: holds(((taskCorrect,true),I)) for I=0,...,12. 

Inst	Prob	Traces	T.Time	S.Time	CPU Time 
0 	 1 	 2257540 	 183.606s 	 183.58s 	 130.372s
1 	 0.6 	 775112 	 68.742s 	 68.73s 	 50.541s
2 	 0.36 	 269670 	 24.906s 	 24.90s 	 18.785s
3 	 0.30575 	 393458 	 37.907s 	 37.90s 	 28.559s
4 	 0.18345 	 133120 	 12.307s 	 12.30s 	 9.306s
5 	 0.51007 	 1233920 	 106.836s 	 106.83s 	 76.372s
6 	 0.706042 	 1784320 	 154.829s 	 154.82s 	 111.181s
7 	 0.823625 	 2059520 	 159.527s 	 159.52s 	 109.902s
8 	 0.877706 	 1381508 	 121.775s 	 121.77s 	 90.064s
9 	 0.726855 	 1103972 	 96.350s 	 96.34s 	 69.717s
10 	 0.647688 	 967848 	 81.493s 	 81.48s 	 57.885s
11 	 0.788613 	 1681836 	 151.868s 	 151.86s 	 110.607s
12 	 0.63089 	 560612 	 50.049s 	 50.04s 	 36.589s

