Query: holds(((f,false),I)) for I=0,...,15. 

Inst	Prob	Traces	T.Time	S.Time	CPU Time 
0 	 0 	 0 	 0.009s 	 0.00s 	 0.000s
1 	 0.1 	 4782969 	 1260.238s 	 1260.23s 	 77.020s
2 	 0.19 	 7971615 	 2142.807s 	 2142.80s 	 132.920s
3 	 0.271 	 10097379 	 2557.311s 	 2557.30s 	 158.100s
4 	 0.3439 	 11514555 	 2708.370s 	 2708.36s 	 161.150s
5 	 0.40951 	 12459339 	 2911.292s 	 2911.28s 	 171.880s
6 	 0.468559 	 13089195 	 3086.318s 	 3086.31s 	 179.730s
7 	 0.521703 	 13509099 	 3147.040s 	 3147.03s 	 185.090s
8 	 0.569533 	 13789035 	 3208.477s 	 3208.47s 	 188.130s
9 	 0.61258 	 13975659 	 3251.099s 	 3251.09s 	 191.110s
10 	 0.651322 	 14100075 	 3298.810s 	 3298.80s 	 194.130s
11 	 0.686189 	 14183019 	 3316.877s 	 3316.87s 	 195.270s
12 	 0.71757 	 14238315 	 3311.270s 	 3311.26s 	 195.620s
13 	 0.745813 	 14275179 	 3338.228s 	 3338.22s 	 196.490s
14 	 0.771232 	 14299755 	 3440.679s 	 3440.67s 	 206.040s
15 	 0.794109 	 14316139 	 3368.671s 	 3368.66s 	 201.960s
