Query: holds(((f,false),I)) for I=0,...,15. 

Inst	Prob	Traces	T.Time	S.Time	CPU Time 
0 	 0 	 0 	 0.009s 	 0.00s 	 0.000s
1 	 0.1 	 1 	 0.013s 	 0.00s 	 0.000s
2 	 0.19 	 5 	 0.010s 	 0.00s 	 0.000s
3 	 0.271 	 19 	 0.007s 	 0.00s 	 0.000s
4 	 0.3439 	 65 	 0.009s 	 0.00s 	 0.000s
5 	 0.40951 	 211 	 0.009s 	 0.00s 	 0.000s
6 	 0.468559 	 665 	 0.057s 	 0.05s 	 0.010s
7 	 0.521703 	 2059 	 0.223s 	 0.21s 	 0.020s
8 	 0.569533 	 6305 	 0.801s 	 0.79s 	 0.060s
9 	 0.61258 	 19171 	 2.784s 	 2.78s 	 0.200s
10 	 0.651322 	 58025 	 9.204s 	 9.20s 	 0.620s
11 	 0.686189 	 175099 	 30.421s 	 30.41s 	 1.990s
12 	 0.71757 	 527345 	 99.498s 	 99.49s 	 6.330s
13 	 0.745813 	 1586131 	 325.785s 	 325.77s 	 20.270s
14 	 0.771232 	 4766585 	 1037.439s 	 1037.43s 	 63.110s
15 	 0.794109 	 14316139 	 3336.112s 	 3336.11s 	 196.440s
