Query: holds(((f,true),I)) for I=0,...,15. 

Inst	Prob	Traces	T.Time	S.Time	CPU Time 
0 	 1 	 14348907 	 3594.460s 	 3594.45s 	 223.290s
1 	 0.9 	 9565938 	 2320.558s 	 2320.55s 	 142.960s
2 	 0.81 	 6377292 	 1525.199s 	 1525.19s 	 94.990s
3 	 0.729 	 4251528 	 1015.366s 	 1015.36s 	 62.540s
4 	 0.6561 	 2834352 	 667.550s 	 667.54s 	 41.680s
5 	 0.59049 	 1889568 	 440.066s 	 440.06s 	 27.470s
6 	 0.531441 	 1259712 	 298.561s 	 298.55s 	 18.280s
7 	 0.478297 	 839808 	 194.302s 	 194.29s 	 12.280s
8 	 0.430467 	 559872 	 127.822s 	 127.81s 	 8.120s
9 	 0.38742 	 373248 	 84.424s 	 84.42s 	 5.450s
10 	 0.348678 	 248832 	 55.893s 	 55.89s 	 3.590s
11 	 0.313811 	 165888 	 37.206s 	 37.20s 	 2.440s
12 	 0.28243 	 110592 	 25.531s 	 25.52s 	 1.700s
13 	 0.254187 	 73728 	 18.965s 	 18.96s 	 1.290s
14 	 0.228768 	 49152 	 12.658s 	 12.65s 	 0.930s
15 	 0.205891 	 32768 	 8.880s 	 8.86s 	 0.650s
