Query: holds(((f,true),I)) for I=0,...,15. 

Inst	Prob	Traces	T.Time	S.Time	CPU Time 
0 	 1 	 1 	 0.008s 	 0.00s 	 0.000s
1 	 0.9 	 2 	 0.017s 	 0.00s 	 0.010s
2 	 0.81 	 4 	 0.010s 	 0.00s 	 0.000s
3 	 0.729 	 8 	 0.015s 	 0.00s 	 0.000s
4 	 0.6561 	 16 	 0.014s 	 0.00s 	 0.000s
5 	 0.59049 	 32 	 0.011s 	 0.00s 	 0.000s
6 	 0.531441 	 64 	 0.010s 	 0.00s 	 0.010s
7 	 0.478297 	 128 	 0.015s 	 0.00s 	 0.010s
8 	 0.430467 	 256 	 0.014s 	 0.00s 	 0.010s
9 	 0.38742 	 512 	 0.070s 	 0.06s 	 0.010s
10 	 0.348678 	 1024 	 0.211s 	 0.20s 	 0.020s
11 	 0.313811 	 2048 	 0.411s 	 0.40s 	 0.040s
12 	 0.28243 	 4096 	 0.664s 	 0.65s 	 0.050s
13 	 0.254187 	 8192 	 1.460s 	 1.45s 	 0.100s
14 	 0.228768 	 16384 	 3.141s 	 3.13s 	 0.220s
15 	 0.205891 	 32768 	 6.753s 	 6.75s 	 0.460s
