Query: holds(((f,true),I)) for I=0,...,10. 

Inst	Prob	Traces	T.Time	S.Time	CPU Time 
0 	 1 	 59049 	 9.380s 	 9.37s 	 0.660s
1 	 0.9 	 39366 	 6.210s 	 6.20s 	 0.440s
2 	 0.81 	 26244 	 3.991s 	 3.99s 	 0.280s
3 	 0.729 	 17496 	 2.743s 	 2.73s 	 0.200s
4 	 0.6561 	 11664 	 1.985s 	 1.98s 	 0.150s
5 	 0.59049 	 7776 	 1.170s 	 1.16s 	 0.090s
6 	 0.531441 	 5184 	 0.786s 	 0.78s 	 0.060s
7 	 0.478297 	 3456 	 0.504s 	 0.50s 	 0.040s
8 	 0.430467 	 2304 	 0.319s 	 0.31s 	 0.020s
9 	 0.38742 	 1536 	 0.216s 	 0.21s 	 0.020s
10 	 0.348678 	 1024 	 0.134s 	 0.13s 	 0.010s
