Inst	Prob	Traces	T.Time	S.Time	CPU Time 
0 	 1 	 1594323 	 330.017s 	 330.01s 	 20.240s
1 	 0.903069 	 1062882 	 217.182s 	 217.17s 	 13.340s
2 	 0.826384 	 708588 	 143.049s 	 143.04s 	 8.870s
3 	 0.750819 	 472392 	 94.935s 	 94.93s 	 5.870s
4 	 0.686587 	 314928 	 62.943s 	 62.93s 	 3.910s
5 	 0.625903 	 209952 	 41.480s 	 41.47s 	 2.590s
6 	 0.56631 	 139968 	 27.307s 	 27.30s 	 1.700s
7 	 0.500558 	 93312 	 17.921s 	 17.91s 	 1.120s
8 	 0.446263 	 62208 	 12.129s 	 12.12s 	 0.760s
9 	 0.415512 	 41472 	 8.199s 	 8.19s 	 0.550s
10 	 0.384916 	 27648 	 5.177s 	 5.17s 	 0.340s
11 	 0.341692 	 18432 	 3.427s 	 3.42s 	 0.230s
12 	 0.299332 	 12288 	 2.266s 	 2.26s 	 0.160s
13 	 0.264459 	 8192 	 1.491s 	 1.48s 	 0.110s
