"Query: hold(((f,false),I)) for I=0,...,13. "																
Int	Prob	Trace	T.Time	S.Time	CPU Time 	1-x										
0	0	0	0.009	0	0.01	1		0.018	0.009							
1	0.0969309	531441	113.043	113.03	6.91	0.9030691		226.086	113.043							
2	0.173616	885735	187.529	187.52	11.5	0.826384		286.098	143.049							
3	0.249181	1121931	235.124	235.12	14.53	0.750819		189.87	94.935							
4	0.313413	1279395	269.094	269.09	16.38	0.686587		125.886	62.943							
5	0.374097	1384371	290.528	290.52	17.57	0.625903		82.96	41.48							
6	0.43369	1454355	303.339	303.33	18.34	0.56631		54.614	27.307							
7	0.499442	1501011	316.441	316.43	19.14	0.500558		35.842	17.921							
8	0.553737	1532115	322.792	322.78	19.63	0.446263		24.258	12.129							
9	0.584488	1552851	326.551	326.54	19.71	0.415512		16.398	8.199							
10	0.615084	1566675	325.762	325.75	19.72	0.384916		10.354	5.177							
11	0.658308	1575891	334.157	334.14	20.32	0.341692		6.854	3.427							
12	0.700668	1582035	333.531	333.52	20.22	0.299332		4.532	2.266							
13	0.735541	1586131	326.749	326.74	19.81	0.264459		2.982	1.491							
								76.19657143	38.09828571							
																
"Query: hold(((f,true),I)) for I=0,...,13. "																
Inst	Prob	Traces	T.Time	S.Time	CPU Time 		Theorical									
0	1	1594323	330.017	330.01	20.24		1									
1	0.903069	1062882	217.182	217.17	13.34		0.9									
2	0.826384	708588	143.049	143.04	8.87		0.81									
3	0.750819	472392	94.935	94.93	5.87		0.729									
4	0.686587	314928	62.943	62.93	3.91		0.6561									
5	0.625903	209952	41.48	41.47	2.59		0.59049									
6	0.56631	139968	27.307	27.3	1.7		0.531441									
7	0.500558	93312	17.921	17.91	1.12		0.4782969									
8	0.446263	62208	12.129	12.12	0.76		0.43046721									
9	0.415512	41472	8.199	8.19	0.55		0.387420489									
10	0.384916	27648	5.177	5.17	0.34		0.34867844									
11	0.341692	18432	3.427	3.42	0.23		0.313810596									
12	0.299332	12288	2.266	2.26	0.16		0.282429536									
13	0.264459	8192	1.491	1.48	0.11		0.254186583									
																
																
																
																
prob:	instant	noisy	normal													
	0	0.484654731	0.5													
	1	0.424581006	0.5													
	2	0.457202505	0.5													
	3	0.427745665	0.5													
	4	0.441926346	0.5													
	5	0.476056338	0.5													
	6	0.580533024	0.5													
	7	0.542342342	0.5													
	8	0.344537815	0.5													
	9	0.368171021	0.5													
	10	0.56146789	0.5													
	11	0.619858156	0.5													
	12	0.582524272	0.5													
	13	0.503989362	0.5													
	14	0.5	0.5													
	15	0.375280899	0.5													
	16	0.5632	0.5													
	17	0.507317073	0.5													
	18	0.757341577	0.5													
	19	0.454379562	0.5													
