Query: holds(((f,true),I)) for I=0,...,16. 

Inst	Prob	Traces	T.Time	S.Time	CPU Time 
0 	 1 	 43046721 	 10959.849s 	 10959.84s 	 637.860s
1 	 0.903069 	 28697814 	 7279.187s 	 7279.18s 	 424.990s
2 	 0.826384 	 19131876 	 4806.242s 	 4806.24s 	 283.990s
3 	 0.750819 	 12754584 	 3176.511s 	 3176.50s 	 187.150s
4 	 0.686587 	 8503056 	 2102.692s 	 2102.68s 	 124.690s
5 	 0.625903 	 5668704 	 1394.225s 	 1394.21s 	 82.870s
6 	 0.56631 	 3779136 	 928.341s 	 928.33s 	 54.830s
7 	 0.500558 	 2519424 	 607.373s 	 607.36s 	 36.320s
8 	 0.446263 	 1679616 	 402.960s 	 402.95s 	 24.090s
9 	 0.415512 	 1119744 	 266.170s 	 266.16s 	 16.060s
10 	 0.384916 	 746496 	 175.977s 	 175.97s 	 10.630s
11 	 0.341692 	 497664 	 116.835s 	 116.83s 	 7.150s
12 	 0.299332 	 331776 	 77.520s 	 77.51s 	 4.760s
13 	 0.264459 	 221184 	 50.676s 	 50.67s 	 3.160s
14 	 0.237802 	 147456 	 33.869s 	 33.86s 	 2.190s
15 	 0.214022 	 98304 	 22.350s 	 22.34s 	 1.470s
16 	 0.197958 	 65536 	 15.313s 	 15.30s 	 1.030s
