Query: holds(((tuberculosis,absent),I)) for I=0,...,50. 

Inst	Prob	Traces	T.Time	S.Time	CPU Time 
0 	 0.666667 	 204 	 0.456s 	 0.42s 	 0.090s
1 	 0.533333 	 102 	 0.239s 	 0.20s 	 0.060s
2 	 0.533333 	 102 	 0.237s 	 0.21s 	 0.050s
3 	 0.149333 	 4 	 0.031s 	 0.00s 	 0.020s
4 	 0.149333 	 4 	 0.027s 	 0.00s 	 0.020s
5 	 0.149333 	 4 	 0.035s 	 0.00s 	 0.030s
6 	 0.149333 	 4 	 0.031s 	 0.00s 	 0.030s
7 	 0.149333 	 4 	 0.033s 	 0.00s 	 0.030s
8 	 0.149333 	 4 	 0.035s 	 0.00s 	 0.030s
9 	 0.149333 	 4 	 0.031s 	 0.00s 	 0.030s
10 	 0.149333 	 4 	 0.033s 	 0.00s 	 0.030s
11 	 0.149333 	 4 	 0.039s 	 0.00s 	 0.030s
12 	 0.149333 	 4 	 0.030s 	 0.00s 	 0.030s
13 	 0.149333 	 4 	 0.031s 	 0.00s 	 0.030s
14 	 0.149333 	 4 	 0.032s 	 0.00s 	 0.030s
15 	 0.149333 	 4 	 0.032s 	 0.00s 	 0.030s
16 	 0.149333 	 4 	 0.030s 	 0.00s 	 0.020s
17 	 0.149333 	 4 	 0.035s 	 0.00s 	 0.020s
18 	 0.149333 	 4 	 0.032s 	 0.00s 	 0.030s
19 	  	  	  	  	 
20 	 0.149333 	 4 	 0.036s 	 0.00s 	 0.030s
21 	 0.149333 	 4 	 0.033s 	 0.00s 	 0.030s
22 	 0.149333 	 4 	 0.030s 	 0.00s 	 0.020s
23 	 0.149333 	 4 	 0.034s 	 0.00s 	 0.030s
24 	 0.149333 	 4 	 0.035s 	 0.00s 	 0.030s
25 	 0.149333 	 4 	 0.036s 	 0.00s 	 0.030s
26 	 0.149333 	 4 	 0.040s 	 0.00s 	 0.030s
27 	 0.149333 	 4 	 0.034s 	 0.00s 	 0.020s
28 	 0.149333 	 4 	 0.034s 	 0.00s 	 0.030s
29 	 0.149333 	 4 	 0.032s 	 0.00s 	 0.030s
30 	 0.149333 	 4 	 0.029s 	 0.00s 	 0.020s
31 	 0.149333 	 4 	 0.036s 	 0.00s 	 0.030s
32 	 0.149333 	 4 	 0.030s 	 0.00s 	 0.020s
33 	 0.149333 	 4 	 0.033s 	 0.00s 	 0.030s
34 	 0.149333 	 4 	 0.029s 	 0.00s 	 0.020s
35 	 0.149333 	 4 	 0.033s 	 0.00s 	 0.030s
36 	 0.149333 	 4 	 0.034s 	 0.00s 	 0.030s
37 	 0.149333 	 4 	 0.032s 	 0.00s 	 0.030s
38 	 0.149333 	 4 	 0.032s 	 0.00s 	 0.020s
39 	 0.149333 	 4 	 0.032s 	 0.00s 	 0.030s
40 	 0.149333 	 4 	 0.034s 	 0.00s 	 0.030s
41 	 0.149333 	 4 	 0.031s 	 0.00s 	 0.030s
42 	 0.149333 	 4 	 0.031s 	 0.00s 	 0.030s
43 	 0.149333 	 4 	 0.033s 	 0.00s 	 0.030s
44 	 0.149333 	 4 	 0.030s 	 0.00s 	 0.030s
45 	 0.149333 	 4 	 0.032s 	 0.00s 	 0.020s
46 	 0.149333 	 4 	 0.032s 	 0.00s 	 0.030s
47 	 0.149333 	 4 	 0.036s 	 0.00s 	 0.030s
48 	 0.149333 	 4 	 0.032s 	 0.00s 	 0.030s
49 	 0.149333 	 4 	 0.032s 	 0.00s 	 0.030s
50 	 0.149333 	 4 	 0.030s 	 0.00s 	 0.020s
