Query: holds(((tuberculosis,active),I)) for I=0,...,50. 

Inst	Prob	Traces	T.Time	S.Time	CPU Time 
0 	 0.0333333 	 4 	 0.034s 	 0.00s 	 0.030s
1 	 0.04024 	 10 	 0.037s 	 0.01s 	 0.030s
2 	 0.0405811 	 16 	 0.057s 	 0.02s 	 0.030s
3 	 0.060122 	 24 	 0.067s 	 0.03s 	 0.030s
4 	 0.0607544 	 32 	 0.081s 	 0.05s 	 0.030s
5 	 0.0613864 	 40 	 0.097s 	 0.06s 	 0.030s
6 	 0.0620178 	 48 	 0.112s 	 0.08s 	 0.040s
7 	 0.0626487 	 56 	 0.124s 	 0.09s 	 0.040s
8 	 0.0632791 	 64 	 0.136s 	 0.11s 	 0.040s
9 	 0.063909 	 72 	 0.160s 	 0.13s 	 0.040s
10 	 0.0645384 	 80 	 0.170s 	 0.14s 	 0.040s
11 	 0.0651674 	 88 	 0.184s 	 0.15s 	 0.040s
12 	 0.0657958 	 96 	 0.212s 	 0.18s 	 0.050s
13 	 0.0664236 	 104 	 0.232s 	 0.20s 	 0.050s
14 	 0.067051 	 112 	 0.249s 	 0.21s 	 0.050s
15 	 0.0676779 	 120 	 0.263s 	 0.23s 	 0.060s
16 	 0.0683043 	 128 	 0.287s 	 0.25s 	 0.060s
17 	 0.0689302 	 136 	 0.293s 	 0.25s 	 0.060s
18 	 0.0695556 	 144 	 0.293s 	 0.26s 	 0.060s
19 	 0.0701805 	 152 	 0.311s 	 0.28s 	 0.060s
20 	 0.0708049 	 160 	 0.333s 	 0.30s 	 0.060s
21 	 0.0714288 	 168 	 0.350s 	 0.32s 	 0.060s
22 	 0.0720522 	 176 	 0.367s 	 0.34s 	 0.060s
23 	 0.0726751 	 184 	 0.378s 	 0.35s 	 0.070s
24 	 0.0732974 	 192 	 0.408s 	 0.38s 	 0.070s
25 	 0.0739193 	 200 	 0.424s 	 0.39s 	 0.080s
26 	 0.0745407 	 208 	 0.462s 	 0.43s 	 0.080s
27 	 0.0751616 	 216 	 0.484s 	 0.45s 	 0.080s
28 	 0.075782 	 224 	 0.501s 	 0.46s 	 0.080s
29 	 0.076402 	 232 	 0.520s 	 0.48s 	 0.100s
30 	 0.0770214 	 240 	 0.545s 	 0.51s 	 0.090s
31 	 0.0776403 	 248 	 0.562s 	 0.53s 	 0.100s
32 	 0.0782587 	 256 	 0.571s 	 0.54s 	 0.090s
33 	 0.0788766 	 264 	 0.602s 	 0.57s 	 0.110s
34 	 0.0794941 	 272 	 0.607s 	 0.58s 	 0.100s
35 	 0.080111 	 280 	 0.624s 	 0.60s 	 0.110s
36 	 0.0807274 	 288 	 0.661s 	 0.62s 	 0.120s
37 	 0.0813434 	 296 	 0.672s 	 0.63s 	 0.130s
38 	 0.0819589 	 304 	 0.688s 	 0.65s 	 0.120s
39 	 0.0825738 	 312 	 0.679s 	 0.65s 	 0.100s
40 	 0.0831883 	 320 	 0.706s 	 0.68s 	 0.120s
41 	 0.0838023 	 328 	 0.686s 	 0.66s 	 0.110s
42 	 0.0844158 	 336 	 0.730s 	 0.70s 	 0.110s
43 	 0.0850288 	 344 	 0.754s 	 0.72s 	 0.110s
44 	 0.0856413 	 352 	 0.788s 	 0.75s 	 0.120s
45 	 0.0862533 	 360 	 0.808s 	 0.77s 	 0.120s
46 	 0.0868648 	 368 	 0.829s 	 0.79s 	 0.120s
47 	 0.0874759 	 376 	 0.852s 	 0.82s 	 0.140s
48 	 0.0880864 	 384 	 0.879s 	 0.84s 	 0.140s
49 	 0.0886965 	 392 	 0.863s 	 0.83s 	 0.150s
50 	 0.0893061 	 400 	 0.870s 	 0.84s 	 0.130s
