Query: holds(((tuberculosis,latent),I)) for I=0,...,50. 

Inst	Prob	Traces	T.Time	S.Time	CPU Time 
0 	 0.3 	 204 	 0.479s 	 0.44s 	 0.090s
1 	 0.426427 	 300 	 0.688s 	 0.66s 	 0.100s
2 	 0.426086 	 294 	 0.665s 	 0.63s 	 0.110s
3 	 0.790545 	 384 	 0.868s 	 0.84s 	 0.130s
4 	 0.789912 	 376 	 0.910s 	 0.87s 	 0.140s
5 	 0.78928 	 368 	 0.892s 	 0.86s 	 0.140s
6 	 0.788649 	 360 	 0.885s 	 0.85s 	 0.120s
7 	 0.788018 	 352 	 0.835s 	 0.80s 	 0.120s
8 	 0.787388 	 344 	 0.818s 	 0.79s 	 0.120s
9 	 0.786758 	 336 	 0.857s 	 0.83s 	 0.130s
10 	 0.786128 	 328 	 0.895s 	 0.86s 	 0.140s
11 	 0.785499 	 320 	 0.835s 	 0.80s 	 0.140s
12 	 0.784871 	 312 	 0.785s 	 0.74s 	 0.130s
13 	 0.784243 	 304 	 0.753s 	 0.72s 	 0.120s
14 	 0.783616 	 296 	 0.729s 	 0.70s 	 0.120s
15 	 0.782989 	 288 	 0.729s 	 0.70s 	 0.120s
16 	 0.782362 	 280 	 0.728s 	 0.70s 	 0.110s
17 	 0.781736 	 272 	 0.716s 	 0.68s 	 0.110s
18 	 0.781111 	 264 	 0.696s 	 0.66s 	 0.110s
19 	 0.780486 	 256 	 0.673s 	 0.64s 	 0.110s
20 	 0.779862 	 248 	 0.651s 	 0.62s 	 0.110s
21 	 0.779238 	 240 	 0.632s 	 0.59s 	 0.100s
22 	 0.778615 	 232 	 0.593s 	 0.56s 	 0.090s
23 	 0.777992 	 224 	 0.582s 	 0.55s 	 0.090s
24 	 0.777369 	 216 	 0.554s 	 0.52s 	 0.080s
25 	 0.776747 	 208 	 0.539s 	 0.51s 	 0.090s
26 	 0.776126 	 200 	 0.513s 	 0.48s 	 0.080s
27 	 0.775505 	 192 	 0.497s 	 0.47s 	 0.080s
28 	 0.774885 	 184 	 0.483s 	 0.45s 	 0.070s
29 	 0.774265 	 176 	 0.482s 	 0.45s 	 0.080s
30 	 0.773645 	 168 	 0.441s 	 0.41s 	 0.070s
31 	 0.773026 	 160 	 0.432s 	 0.40s 	 0.070s
32 	 0.772408 	 152 	 0.407s 	 0.38s 	 0.070s
33 	 0.77179 	 144 	 0.400s 	 0.37s 	 0.070s
34 	 0.771173 	 136 	 0.352s 	 0.32s 	 0.060s
35 	 0.770556 	 128 	 0.334s 	 0.30s 	 0.060s
36 	 0.769939 	 120 	 0.328s 	 0.29s 	 0.060s
37 	 0.769323 	 112 	 0.301s 	 0.27s 	 0.060s
38 	 0.768708 	 104 	 0.272s 	 0.24s 	 0.050s
39 	 0.768093 	 96 	 0.265s 	 0.23s 	 0.050s
40 	 0.767478 	 88 	 0.243s 	 0.21s 	 0.050s
41 	 0.766864 	 80 	 0.221s 	 0.19s 	 0.050s
42 	 0.766251 	 72 	 0.229s 	 0.19s 	 0.050s
43 	 0.765638 	 64 	 0.194s 	 0.16s 	 0.040s
44 	 0.765025 	 56 	 0.170s 	 0.14s 	 0.040s
45 	 0.764413 	 48 	 0.169s 	 0.13s 	 0.040s
46 	 0.763802 	 40 	 0.141s 	 0.11s 	 0.040s
47 	 0.763191 	 32 	 0.122s 	 0.08s 	 0.040s
48 	 0.76258 	 24 	 0.097s 	 0.06s 	 0.030s
49 	 0.76197 	 16 	 0.069s 	 0.04s 	 0.030s
50 	 0.761361 	 8 	 0.051s 	 0.02s 	 0.030s
