Inst	Prob	Traces	Time 
0 	 0.666667 	 292 	 
1 	 0.666667 	 292 	 
2 	 0.666667 	 292 	 
3 	 0.666667 	 292 	 
4 	 0.666667 	 292 	 
5 	 0.666667 	 292 	 
6 	 0.666667 	 292 	 
7 	 0.666667 	 292 	 
8 	 0.666667 	 292 	 
9 	 0.666667 	 292 	 
10 	 0.666667 	 292 	 
11 	 0.666667 	 292 	 
12 	 0.666667 	 292 	 
13 	 0.666667 	 292 	 
14 	 0.666667 	 292 	 
15 	 0.666667 	 292 	 
16 	 0.666667 	 292 	 
17 	 0.666667 	 292 	 
18 	 0.666667 	 292 	 
19 	 0.666667 	 292 	 
20 	 0.666667 	 292 	 
21 	 0.666667 	 292 	 
22 	 0.666667 	 292 	 
23 	 0.666667 	 292 	 
24 	 0.56 	 136 	 
25 	 0.56 	 136 	 
26 	 0.56 	 136 	 
27 	 0.56 	 136 	 
28 	 0.56 	 136 	 
29 	 0.56 	 136 	 
30 	 0.56 	 136 	 
31 	 0.56 	 136 	 
32 	 0.56 	 136 	 
33 	 0.56 	 136 	 
34 	 0.56 	 136 	 
35 	 0.56 	 136 	 
36 	 0.1568 	 4 	 
37 	 0.1568 	 4 	 
38 	 0.1568 	 4 	 
39 	 0.1568 	 4 	 
40 	 0.1568 	 4 	 
41 	 0.1568 	 4 	 
42 	 0.1568 	 4 	 
43 	 0.1568 	 4 	 
44 	 0.1568 	 4 	 
45 	 0.1568 	 4 	 
46 	 0.1568 	 4 	 
47 	 0.1568 	 4 	 
48 	 0.1568 	 4 	 
49 	 0.1568 	 4 	 
50 	 0.1568 	 4 	 
51 	 0.1568 	 4 	 
52 	 0.1568 	 4 	 
53 	 0.1568 	 4 	 
54 	 0.1568 	 4 	 
55 	 0.1568 	 4 	 
56 	 0.1568 	 4 	 
57 	 0.1568 	 4 	 
58 	 0.1568 	 4 	 
59 	 0.1568 	 4 	 
60 	 0.1568 	 4 	 
61 	 0.1568 	 4 	 
62 	 0.1568 	 4 	 
63 	 0.1568 	 4 	 
64 	 0.1568 	 4 	 
65 	 0.1568 	 4 	 
66 	 0.1568 	 4 	 
67 	 0.1568 	 4 	 
68 	 0.1568 	 4 	 
69 	 0.1568 	 4 	 
70 	 0.1568 	 4 	 
71 	 0.1568 	 4 	 
72 	 0.1568 	 4 	 
73 	 0.1568 	 4 	 
74 	 0.1568 	 4 	 
75 	 0.1568 	 4 	 
76 	 0.1568 	 4 	 
77 	 0.1568 	 4 	 
78 	 0.1568 	 4 	 
79 	 0.1568 	 4 	 
80 	 0.1568 	 4 	 
81 	 0.1568 	 4 	 
82 	 0.1568 	 4 	 
83 	 0.1568 	 4 	 
84 	 0.1568 	 4 	 
85 	 0.1568 	 4 	 
86 	 0.1568 	 4 	 
87 	 0.1568 	 4 	 
88 	 0.1568 	 4 	 
89 	 0.1568 	 4 	 
90 	 0.1568 	 4 	 
91 	 0.1568 	 4 	 
92 	 0.1568 	 4 	 
93 	 0.1568 	 4 	 
94 	 0.1568 	 4 	 
95 	 0.1568 	 4 	 
96 	 0.1568 	 4 	 
97 	 0.1568 	 4 	 
98 	 0.1568 	 4 	 
99 	 0.1568 	 4 	 
100 	 0.1568 	 4 	 
