Inst	Prob	Traces	Time 
0 	 0.0333333 	 4 	 
1 	 0.0335733 	 8 	 
2 	 0.0338131 	 12 	 
3 	 0.0340528 	 16 	 
4 	 0.0342922 	 20 	 
5 	 0.0345314 	 24 	 
6 	 0.0347705 	 28 	 
7 	 0.0350093 	 32 	 
8 	 0.035248 	 36 	 
9 	 0.0354864 	 40 	 
10 	 0.0357247 	 44 	 
11 	 0.0359628 	 48 	 
12 	 0.0362007 	 52 	 
13 	 0.0364384 	 56 	 
14 	 0.0366759 	 60 	 
15 	 0.0369132 	 64 	 
16 	 0.0371504 	 68 	 
17 	 0.0373873 	 72 	 
18 	 0.0376241 	 76 	 
19 	 0.0378606 	 80 	 
20 	 0.038097 	 84 	 
21 	 0.0383332 	 88 	 
22 	 0.0385692 	 92 	 
23 	 0.038805 	 96 	 
24 	 0.044374 	 102 	 
25 	 0.0446905 	 108 	 
26 	 0.0450067 	 114 	 
27 	 0.0453227 	 120 	 
28 	 0.0456385 	 126 	 
29 	 0.045954 	 132 	 
30 	 0.0462692 	 138 	 
31 	 0.0465842 	 144 	 
32 	 0.0468989 	 150 	 
33 	 0.0472134 	 156 	 
34 	 0.0475276 	 162 	 
35 	 0.0478416 	 168 	 
36 	 0.0683153 	 176 	 
37 	 0.0689352 	 184 	 
38 	 0.0695546 	 192 	 
39 	 0.0701736 	 200 	 
40 	 0.070792 	 208 	 
41 	 0.0714099 	 216 	 
42 	 0.0720273 	 224 	 
43 	 0.0726443 	 232 	 
44 	 0.0732607 	 240 	 
45 	 0.0738767 	 248 	 
46 	 0.0744921 	 256 	 
47 	 0.0751071 	 264 	 
48 	 0.0757216 	 272 	 
49 	 0.0763356 	 280 	 
50 	 0.0769491 	 288 	 
51 	 0.0775621 	 296 	 
52 	 0.0781746 	 304 	 
53 	 0.0787866 	 312 	 
54 	 0.0793981 	 320 	 
55 	 0.0800092 	 328 	 
56 	 0.0806197 	 336 	 
57 	 0.0812298 	 344 	 
58 	 0.0818393 	 352 	 
59 	 0.0824484 	 360 	 
60 	 0.083057 	 368 	 
61 	 0.0836652 	 376 	 
62 	 0.0842728 	 384 	 
63 	 0.0848799 	 392 	 
64 	 0.0854866 	 400 	 
65 	 0.0860927 	 408 	 
66 	 0.0866984 	 416 	 
67 	 0.0873036 	 424 	 
68 	 0.0879084 	 432 	 
69 	 0.0885126 	 440 	 
70 	 0.0891163 	 448 	 
71 	 0.0897196 	 456 	 
72 	 0.0903224 	 464 	 
73 	 0.0909247 	 472 	 
74 	 0.0915265 	 480 	 
75 	 0.0921278 	 488 	 
76 	 0.0927287 	 496 	 
77 	 0.0933291 	 504 	 
78 	 0.093929 	 512 	 
79 	 0.0945284 	 520 	 
80 	 0.0951273 	 528 	 
81 	 0.0957258 	 536 	 
82 	 0.0963238 	 544 	 
83 	 0.0969213 	 552 	 
84 	 0.0975183 	 560 	 
85 	 0.0981148 	 568 	 
86 	 0.0987109 	 576 	 
87 	 0.0993065 	 584 	 
88 	 0.0999016 	 592 	 
89 	 0.100496 	 600 	 
90 	 0.10109 	 608 	 
91 	 0.101684 	 616 	 
92 	 0.102277 	 624 	 
93 	 0.10287 	 632 	 
94 	 0.103462 	 640 	 
95 	 0.104054 	 648 	 
96 	 0.104645 	 656 	 
97 	 0.105236 	 664 	 
98 	 0.105827 	 672 	 
99 	 0.106417 	 680 	 
100 	 0.107006 	 688 	 
