Inst	Prob	Traces	Time 
0 	 0.3 	 404 	 
1 	 0.29976 	 400 	 
2 	 0.29952 	 396 	 
3 	 0.299281 	 392 	 
4 	 0.299041 	 388 	 
5 	 0.298802 	 384 	 
6 	 0.298563 	 380 	 
7 	 0.298324 	 376 	 
8 	 0.298085 	 372 	 
9 	 0.297847 	 368 	 
10 	 0.297609 	 364 	 
11 	 0.297371 	 360 	 
12 	 0.297133 	 356 	 
13 	 0.296895 	 352 	 
14 	 0.296657 	 348 	 
15 	 0.29642 	 344 	 
16 	 0.296183 	 340 	 
17 	 0.295946 	 336 	 
18 	 0.295709 	 332 	 
19 	 0.295473 	 328 	 
20 	 0.295236 	 324 	 
21 	 0.295 	 320 	 
22 	 0.294764 	 316 	 
23 	 0.294528 	 312 	 
24 	 0.395626 	 462 	 
25 	 0.39531 	 456 	 
26 	 0.394993 	 450 	 
27 	 0.394677 	 444 	 
28 	 0.394362 	 438 	 
29 	 0.394046 	 432 	 
30 	 0.393731 	 426 	 
31 	 0.393416 	 420 	 
32 	 0.393101 	 414 	 
33 	 0.392787 	 408 	 
34 	 0.392472 	 402 	 
35 	 0.392158 	 396 	 
36 	 0.774885 	 520 	 
37 	 0.774265 	 512 	 
38 	 0.773645 	 504 	 
39 	 0.773026 	 496 	 
40 	 0.772408 	 488 	 
41 	 0.77179 	 480 	 
42 	 0.771173 	 472 	 
43 	 0.770556 	 464 	 
44 	 0.769939 	 456 	 
45 	 0.769323 	 448 	 
46 	 0.768708 	 440 	 
47 	 0.768093 	 432 	 
48 	 0.767478 	 424 	 
49 	 0.766864 	 416 	 
50 	 0.766251 	 408 	 
51 	 0.765638 	 400 	 
52 	 0.765025 	 392 	 
53 	 0.764413 	 384 	 
54 	 0.763802 	 376 	 
55 	 0.763191 	 368 	 
56 	 0.76258 	 360 	 
57 	 0.76197 	 352 	 
58 	 0.761361 	 344 	 
59 	 0.760752 	 336 	 
60 	 0.760143 	 328 	 
61 	 0.759535 	 320 	 
62 	 0.758927 	 312 	 
63 	 0.75832 	 304 	 
64 	 0.757713 	 296 	 
65 	 0.757107 	 288 	 
66 	 0.756502 	 280 	 
67 	 0.755896 	 272 	 
68 	 0.755292 	 264 	 
69 	 0.754687 	 256 	 
70 	 0.754084 	 248 	 
71 	 0.75348 	 240 	 
72 	 0.752878 	 232 	 
73 	 0.752275 	 224 	 
74 	 0.751673 	 216 	 
75 	 0.751072 	 208 	 
76 	 0.750471 	 200 	 
77 	 0.749871 	 192 	 
78 	 0.749271 	 184 	 
79 	 0.748672 	 176 	 
80 	 0.748073 	 168 	 
81 	 0.747474 	 160 	 
82 	 0.746876 	 152 	 
83 	 0.746279 	 144 	 
84 	 0.745682 	 136 	 
85 	 0.745085 	 128 	 
86 	 0.744489 	 120 	 
87 	 0.743894 	 112 	 
88 	 0.743298 	 104 	 
89 	 0.742704 	 96 	 
90 	 0.74211 	 88 	 
91 	 0.741516 	 80 	 
92 	 0.740923 	 72 	 
93 	 0.74033 	 64 	 
94 	 0.739738 	 56 	 
95 	 0.739146 	 48 	 
96 	 0.738555 	 40 	 
97 	 0.737964 	 32 	 
98 	 0.737373 	 24 	 
99 	 0.736783 	 16 	 
100 	 0.736194 	 8 	 
